Ni & Nr & Nc & Ne & Nm\\
 1 & 401 & 225 & 176 & 0\\
 2 & 227 & 225 & 2 & 0\\
 3 & 227 & 225 & 2 & 0\\
 4 & 225 & 225 & 0 & 0\\
 5 & 225 & 225 & 0 & 0\\
10 & 225 & 225 & 0 & 0\\
15 & 225 & 225 & 0 & 0\\
20 & 225 & 225 & 0 & 0\\
25 & 225 & 225 & 0 & 0\\
all training images & 225(100.00%) & 225(100.00%) & 0(0.00%) & 0(0.00%)\\
