Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.223722	0.036826	0.930693	1.000000	
0.015253	0.005611	1.000000	1.000000	
0.005024	0.003244	1.000000	1.000000	
0.002641	0.002638	1.000000	1.000000	
0.001735	0.002466	1.000000	1.000000	
0.001618	0.002368	1.000000	1.000000	
0.002896	0.002233	1.000000	1.000000	
0.001724	0.001964	1.000000	1.000000	
0.001369	0.001803	1.000000	1.000000	
0.001460	0.001624	1.000000	1.000000	
